time,gFx,gFy,gFz,TgF
5.753,-1.0145,-1.0296,0.2639,1.469
5.755,-0.9974,-1.0226,0.2605,1.452
5.758,-0.9828,-1.0136,0.2576,1.435
5.76,-0.9643,-1.006,0.2547,1.4169999999999998
5.762,-0.9463,-0.995,0.2489,1.396
5.765,-0.9317,-0.9836,0.2464,1.3769999999999998
5.767,-0.9182,-0.9712,0.2411,1.358
5.77,-0.9041,-0.9588,0.2406,1.34
5.772,-0.892,-0.9454,0.2381,1.321
5.775,-0.878,-0.9315,0.2348,1.301
5.777,-0.8653,-0.9196,0.2318,1.284
5.78,-0.8532,-0.9092,0.2299,1.268
5.782,-0.8416,-0.8978,0.227,1.251
5.785,-0.8324,-0.8859,0.2221,1.236
5.787,-0.8241,-0.8774,0.2162,1.2229999999999999
5.789,-0.8198,-0.8671,0.2123,1.212
5.792,-0.8159,-0.8607,0.2045,1.203
5.794,-0.8115,-0.8518,0.1981,1.193
5.797,-0.8091,-0.8434,0.1883,1.1840000000000002
5.799,-0.8067,-0.837,0.179,1.176
5.803,-0.8043,-0.8272,0.1707,1.166
5.804,-0.8057,-0.8213,0.1605,1.162
5.806,-0.8096,-0.8159,0.1517,1.159
5.809,-0.8125,-0.8091,0.1424,1.155
5.811,-0.8159,-0.8023,0.1322,1.1520000000000001
5.814,-0.8193,-0.7994,0.1234,1.151
5.816,-0.8217,-0.7955,0.1136,1.149
5.819,-0.829,-0.7897,0.1072,1.15
5.821,-0.8334,-0.7833,0.0999,1.148
5.827,-0.8373,-0.7789,0.0935,1.147
5.828,-0.8456,-0.7752,0.0891,1.151
5.829,-0.8485,-0.7752,0.0867,1.153
5.831,-0.849,-0.7722,0.0857,1.151
5.833,-0.8466,-0.7697,0.0847,1.147
5.836,-0.8393,-0.7647,0.0847,1.139
5.838,-0.8331,-0.7578,0.0881,1.13
5.841,-0.8253,-0.7548,0.0862,1.122
5.843,-0.8205,-0.7489,0.0872,1.114
5.846,-0.8122,-0.7448,0.0842,1.105
5.848,-0.8005,-0.7398,0.0818,1.093
5.851,-0.7898,-0.7348,0.0769,1.081
5.853,-0.7799,-0.7297,0.073,1.071
5.856,-0.7668,-0.7227,0.0706,1.056
5.859,-0.7556,-0.7207,0.0657,1.046
5.861,-0.7419,-0.7156,0.0613,1.033
5.864,-0.7297,-0.711,0.0579,1.02
5.865,-0.7204,-0.707,0.053,1.011
5.868,-0.7081,-0.7048,0.0486,1.0
